Original Text,Language,Translated Text
👍🏻👍🏻,und,👍🏻👍🏻
Thats true,en,Thats true
noted,en,noted
Very correct.,en,Very correct.
💪🏽,und,💪🏽
Noted,en,Noted
"Good morning, I hope you were able to reflect on what we learned yesterday. Who will give us a brief recap of what we learnt yesterday?🙋🏽‍♂️🙋🏼‍♀️ In a few words, 1 or 2 people can briefly tell us what they took home from yesterday's class",en,"Good morning, I hope you were able to reflect on what we learned yesterday. Who will give us a brief recap of what we learnt yesterday?🙋🏽‍♂️🙋🏼‍♀️ In a few words, 1 or 2 people can briefly tell us what they took home from yesterday's class"
I took home importance of bussines planning,en,I took home importance of bussines planning
"Business plan is clear picture of the whole business a road map to success,a good plan will have smart goal which will enable you to identify what you need to do,by deciding whether you need new asset or creating marketing strategy, also when seeking a loan from eg bank they can ask for the business plan to see how I have been doing yr business",en,"Business plan is clear picture of the whole business a road map to success,a good plan will have smart goal which will enable you to identify what you need to do,by deciding whether you need new asset or creating marketing strategy, also when seeking a loan from eg bank they can ask for the business plan to see how I have been doing yr business"
How l manage to plan business.,en,How l manage to plan business.
"Today we will now learn how to write the business plan. Research has shown that despite having great startup ideas, 90% of businesses fail after 5 years of operation. Of the remaining 10%, one out of ten last past the 5 years. These is because of a number of reasons among them; poor customer service, poor logistics and cost management, inadequate products and lack of a business plan. Business plans help define goals and achieve them.",en,"Today we will now learn how to write the business plan. Research has shown that despite having great startup ideas, 90% of businesses fail after 5 years of operation. Of the remaining 10%, one out of ten last past the 5 years. These is because of a number of reasons among them; poor customer service, poor logistics and cost management, inadequate products and lack of a business plan. Business plans help define goals and achieve them."
I want us all to contribute to the discussion. What do you think we should include in the business plan?,en,I want us all to contribute to the discussion. What do you think we should include in the business plan?
Business plan should include: 1. Background of your business 2. Business vision and mission 3. Marketing strategy 4. Competitive environment,en,Business plan should include: 1. Background of your business 2. Business vision and mission 3. Marketing strategy 4. Competitive environment
"1.Business strategy in order to reach a business goal. 2.financial projection to help see the cash sale, expenses as cash flows. 3.market analysis.4.Campany ad management summary. 5.finacial plan",en,"1.Business strategy in order to reach a business goal. 2.financial projection to help see the cash sale, expenses as cash flows. 3.market analysis.4.Campany ad management summary. 5.finacial plan"
Very correct.,en,Very correct.
"What To Consider when writing a business plan. 1. Define your vision. 2. Set your goals and objectives. Clearly define short term goals (1-12 months), midterm goals (2-3 years) and long term goals. 3. Define your unique selling proposition. That is, how different are you from the crowd that makes you attractive to potential customers? How different is your product or service? 4. Know your market. How many similar busineses/competitors are there? What services and products do they offer? What are the current and future trends of the industry? 5. Know your customers. Know what your ideal customer wants. Understanding the motivation behind customers' action can make your business successful. Put yourself in their shoes & then think what would make them choose you each time. Write down the ideas and implement them. 6. Research the demand for your business. Demand should be more than the supply. 7. Set your marketing goals. I.e How your product would like, what it will cost, how you will distribute it and how you will promote it. Set up measurable goals that will help you achieve your primary objective. E.g The number of products you'll sell; your product development strategy; your price margins; etc. When you ask these questions, they will help you define your marketing strategy. 8. Define your marketing strategy *How many products you need to produce and sell, & at what profit margin so at to get your desired revenue. *What will be your system of delivery and your coverage area? *What will be the strategies you'll use to promote your business; the media that you'll use. Be very specific as this will eventually translate to your ultimate success or failure. *Plan for every eventuality while planning your business plan. 9. Take Action",en,"What To Consider when writing a business plan. 1. Define your vision. 2. Set your goals and objectives. Clearly define short term goals (1-12 months), midterm goals (2-3 years) and long term goals. 3. Define your unique selling proposition. That is, how different are you from the crowd that makes you attractive to potential customers? How different is your product or service? 4. Know your market. How many similar busineses/competitors are there? What services and products do they offer? What are the current and future trends of the industry? 5. Know your customers. Know what your ideal customer wants. Understanding the motivation behind customers' action can make your business successful. Put yourself in their shoes & then think what would make them choose you each time. Write down the ideas and implement them. 6. Research the demand for your business. Demand should be more than the supply. 7. Set your marketing goals. I.e How your product would like, what it will cost, how you will distribute it and how you will promote it. Set up measurable goals that will help you achieve your primary objective. E.g The number of products you'll sell; your product development strategy; your price margins; etc. When you ask these questions, they will help you define your marketing strategy. 8. Define your marketing strategy *How many products you need to produce and sell, & at what profit margin so at to get your desired revenue. *What will be your system of delivery and your coverage area? *What will be the strategies you'll use to promote your business; the media that you'll use. Be very specific as this will eventually translate to your ultimate success or failure. *Plan for every eventuality while planning your business plan. 9. Take Action"
1.Expenses. 2.Profit. 3.Income. 4.Site. 5.Capital. 6.Security.,en,1.Expenses. 2.Profit. 3.Income. 4.Site. 5.Capital. 6.Security.
Good learning.,en,Good learning.
What a lesson..,en,What a lesson..
💪💪💪💪💪gud lesson,sv,💪💪💪💪💪gud lesson
Great,en,Great
✅✅,und,✅✅
Great insight. Thanks,en,Great insight. Thanks
Thanks i got my money now I can boost my business,en,Thanks i got my money now I can boost my business
Me still waiting,en,Me still waiting
Lucky you.. Am still waiting.,en,Lucky you.. Am still waiting.
if you did it means pia sisi tutapata,sw,IF YOU DID IT MEANS too we will get
When,en,When
Mimi nilipata jana aki,sw,I got yesterday aki
Mutapata tuu,fi,Mutapata tuu
Sawa majaliwa,sw,The same ends
Pia Mimi sijapata hizo pesa hadi lini,sw,I also don't get those money up
Ulipigiwa ama ms,sw,Pered or ms.
God is good I have received the cash.. it's real just have patience..,en,God is good I have received the cash.. it's real just have patience..
Ulipata ya seriousa,sw,You found the Seriousa.
I'm not joking... serious... it's real... just have patience a must they will give you the money please,en,I'm not joking... serious... it's real... just have patience a must they will give you the money please
Sms too wakaitiza I'd pap pesa kwa mpesa but iwish ningeitiza mingi yangu ilikuwa too 10k there nice niliambiwa nilipe Na within 60days,sw,SMS TOO press I'd Pap money for MPSA BUT IWISH I would indicate my many was too 10k there Nice I was told to pay and within 60days
Me the same. 60days,en,Me the same. 60days
Jennifer ulikopa ngapi?,vi,Jennifer ulikopa ngapi?
I will call.... private,en,I will call.... private
Ok,en,Ok
I hope nitapata hizo pesa by grace of God,sw,I hope i'll get that money by grace of god
Peninah utapata tuu,jv,Peninah utapata tuu
Sawa,sw,Straight
Still waiting for my turn,en,Still waiting for my turn
Seriously ....am waiting for this miracle...,en,Seriously ....am waiting for this miracle...
Me too,en,Me too
Still waiting for turn,en,Still waiting for turn
Also waiting for my turn,en,Also waiting for my turn
"Good morning everyone, I hope you all had a great Christmas week and your new week has started well. Those of us that have not yet received the funds kindly be patient your turn is coming. Last week we looked at how to develop a business plan and even looked at the components of a business plan. Which are 1. Executive summary 2.Skills/experience 3.Marketing plan 4.Operations plan 5.financial plan 6. Next steps. Having a business plan helps us to organize ourselves for what we intend to do with snd for our businesses",en,"Good morning everyone, I hope you all had a great Christmas week and your new week has started well. Those of us that have not yet received the funds kindly be patient your turn is coming. Last week we looked at how to develop a business plan and even looked at the components of a business plan. Which are 1. Executive summary 2.Skills/experience 3.Marketing plan 4.Operations plan 5.financial plan 6. Next steps. Having a business plan helps us to organize ourselves for what we intend to do with snd for our businesses"
"This week we will focus on *MARKETING MIX* *What Are The Elements of Marketing Mix?* The elements of a marketing mix are the aspects of marketing that a business will leverage to promote its goods or services. There are five elements to consider: 1.product, 2.price, 3.place, 4.promotion, and 5.people. *Marketing Mix Explained:* The term 'marketing mix' is a foundation model for businesses, historically centered around product, price, place, and promotion. The marketing mix has been defined as the ""set of marketing tools that the firm uses to pursue its marketing objectives in the target market"". *Today we shall be looking at the product and price* *Product −* The quality and range of variants of the product or service. *Price −* Cost of product or service for different customer segments by considering various price affecting factors. *QUESTION FOR TODAY* *HOW DO WE BEST USE (LEVERAGE) THE PRICE AND PRODUCT FACTORS AS WE MARKET OUR BUSINESS TO OUR CUSTOMERS.*",en,"This week we will focus on *MARKETING MIX* *What Are The Elements of Marketing Mix?* The elements of a marketing mix are the aspects of marketing that a business will leverage to promote its goods or services. There are five elements to consider: 1.product, 2.price, 3.place, 4.promotion, and 5.people. *Marketing Mix Explained:* The term 'marketing mix' is a foundation model for businesses, historically centered around product, price, place, and promotion. The marketing mix has been defined as the ""set of marketing tools that the firm uses to pursue its marketing objectives in the target market"". *Today we shall be looking at the product and price* *Product −* The quality and range of variants of the product or service. *Price −* Cost of product or service for different customer segments by considering various price affecting factors. *QUESTION FOR TODAY* *HOW DO WE BEST USE (LEVERAGE) THE PRICE AND PRODUCT FACTORS AS WE MARKET OUR BUSINESS TO OUR CUSTOMERS.*"
Good afternoon,en,Good afternoon
"Generally when it comes to products we need to - Ensure *availability* of the product, to avoid stock outs. - Ensure right *quantities (measurements) and qualities* . It's unethical to use unqualified measurements and substandard goods. Avoid counterfeit products which can endanger you and your Business in both short-term and long-term. *Pricing* Make sure price of goods is within accepted range avoid overpricing or selling below the correct price just to make Sales",en,"Generally when it comes to products we need to - Ensure *availability* of the product, to avoid stock outs. - Ensure right *quantities (measurements) and qualities* . It's unethical to use unqualified measurements and substandard goods. Avoid counterfeit products which can endanger you and your Business in both short-term and long-term. *Pricing* Make sure price of goods is within accepted range avoid overpricing or selling below the correct price just to make Sales"
Very correct,en,Very correct
Noted,en,Noted
Interesting subject,en,Interesting subject
Nice,en,Nice
Noted,en,Noted
Correct,en,Correct
This is great,en,This is great
You are all right and your strategies are great .....lets all participate and be more active. Muwe na jioni njema,en,You are all right and your strategies are great .....lets all participate and be more active. Muwe na jioni njema
Thanks you too,en,Thanks you too
Great,en,Great
Noted,en,Noted
"Good morning class I trust that we all had a good night. My name Joseph a colleague to Alice. IM sharing today's topic and questions and she will be stepping in to discuss the topic later in the day. Yesterday we discussed concerning the marketing mix where we said that it is a foundation model for businesses, historically centered around product, price, place, and promotion. The marketing mix has been defined as the ""set of marketing tools that the firm uses to pursue its marketing objectives in the target market"". We only looked at the first two Ps which are Product and price. This topic is aimed at showing us what we need to consider when marketing our business or rather the fundamentals of marketing. The today we discuss the other Ps, ie *Place, Promotion, People, Process and Physical environment.*",en,"Good morning class I trust that we all had a good night. My name Joseph a colleague to Alice. IM sharing today's topic and questions and she will be stepping in to discuss the topic later in the day. Yesterday we discussed concerning the marketing mix where we said that it is a foundation model for businesses, historically centered around product, price, place, and promotion. The marketing mix has been defined as the ""set of marketing tools that the firm uses to pursue its marketing objectives in the target market"". We only looked at the first two Ps which are Product and price. This topic is aimed at showing us what we need to consider when marketing our business or rather the fundamentals of marketing. The today we discuss the other Ps, ie *Place, Promotion, People, Process and Physical environment.*"
"__________________________________________________________________ *Place −* It is the location where the product or service is sold: online, type of store, location of store, time taken and the mode of transport to reach the retail place. *Promotion −* It is raising customers’ awareness about the product or service and driving customers to buy the products by offering tempting deals. *People −* This includes internal stakeholders such as customers, sales staff, management staff, and external stakeholders such as suppliers and supply chain management force. *Process −* It is the range of activities involved in manufacturing and delivering the product or service to the customer. *Physical Environment −* Presenting the products or offering services in a well-organized and attractive manner, keeping an aesthetic sense in presentation to elevate customers’ shopping experience.",en,"__________________________________________________________________ *Place −* It is the location where the product or service is sold: online, type of store, location of store, time taken and the mode of transport to reach the retail place. *Promotion −* It is raising customers’ awareness about the product or service and driving customers to buy the products by offering tempting deals. *People −* This includes internal stakeholders such as customers, sales staff, management staff, and external stakeholders such as suppliers and supply chain management force. *Process −* It is the range of activities involved in manufacturing and delivering the product or service to the customer. *Physical Environment −* Presenting the products or offering services in a well-organized and attractive manner, keeping an aesthetic sense in presentation to elevate customers’ shopping experience."
"__________________________________________________________________ For all the Ps, the following are the factors to consider and use when marketing. *1. PRODUCT* We can use the: *Design- *Usefulness *Convenience *Branding *Value *Quality *Packaging *Technology *2. PRICE* We can use: *Skimming--》selling at the higher price to win the expensive buying customers. *Penetration--》Selling at the lowest price in order to win the low price buying customers. *Physiological---》Selling at prices that will capture the mind of the customer first eg selling a 400g loaf of bread 🍞 for 50/= but Marketing as 49/=. *3. PLACE* We look at where you are in the supply chain. And where are you selling from *Retail *Wholesale *Internet *Peer to peer ie. (Selling to each other as businesses) *4. PROMOTION* We can use *Special offers *Advertising *Endorsements *User trials(samples) *5. People* We can use *Employees *Management *Culture *Customer care *6. PROCESS* This is relevant to the service industry, how are the services consumed. *7. Physical Environment* We use it and as ourselves this questions, It is *smart *Run down *Comfortable *AS DUKA OWNERS WE CONSIDER THE ABOVE FACTORS IN OUR BUSINESS AND THEY WILL HELP US MARKET OUR BUSINESSES*",en,"__________________________________________________________________ For all the Ps, the following are the factors to consider and use when marketing. *1. PRODUCT* We can use the: *Design- *Usefulness *Convenience *Branding *Value *Quality *Packaging *Technology *2. PRICE* We can use: *Skimming--》selling at the higher price to win the expensive buying customers. *Penetration--》Selling at the lowest price in order to win the low price buying customers. *Physiological---》Selling at prices that will capture the mind of the customer first eg selling a 400g loaf of bread 🍞 for 50/= but Marketing as 49/=. *3. PLACE* We look at where you are in the supply chain. And where are you selling from *Retail *Wholesale *Internet *Peer to peer ie. (Selling to each other as businesses) *4. PROMOTION* We can use *Special offers *Advertising *Endorsements *User trials(samples) *5. People* We can use *Employees *Management *Culture *Customer care *6. PROCESS* This is relevant to the service industry, how are the services consumed. *7. Physical Environment* We use it and as ourselves this questions, It is *smart *Run down *Comfortable *AS DUKA OWNERS WE CONSIDER THE ABOVE FACTORS IN OUR BUSINESS AND THEY WILL HELP US MARKET OUR BUSINESSES*"
Question for Today *Which two factors can you use in your marketing strategy from any 3Ps among the 7 Ps above*,en,Question for Today *Which two factors can you use in your marketing strategy from any 3Ps among the 7 Ps above*
Good morning everyone,en,Good morning everyone
goodmornig too Alice,en,goodmornig too Alice
Morning Alice,en,Morning Alice
Alice sijawai pata pesa 🙏🏿,sw,Alice I haven't got money 🙏🏿
"Joram, pesa utapata your turn itafika",sw,"Joram, money you will find your Turn will arrive"
"Julia ,how are you doing",en,"Julia ,how are you doing"
okey Alice,tr,okey Alice
Am very fine had a nice Christmas n now back to business,en,Am very fine had a nice Christmas n now back to business
Gudmorng alice,da,Gudmorng alice
"Good, tell us two factors you use in your marketing strategy",en,"Good, tell us two factors you use in your marketing strategy"
"Miriam , how are you ...biashara inaendelea anje",sw,"Miriam, how are you ... Business continues Anje"
"Joram, contribute in today's topic",en,"Joram, contribute in today's topic"
Morning to,en,Morning to
Hi tabitha how are you doing,en,Hi tabitha how are you doing
Am fine still waiting,en,Am fine still waiting
Morning too,en,Morning too
yap am always active,en,yap am always active
"Utapata loan , patience pays",sw,"You will find Loan, Patience pays"
"Lucy how are you doing ,",en,"Lucy how are you doing ,"
Yeah,en,Yeah
Good ithank the lord,en,Good ithank the lord
Good morning too,en,Good morning too
Am gud biashara iko poa but watu walienda shags mdogo mdogo tuu,sw,AM Gud Business Located Poa But People Goed Shags Little Little Tuu
Product check whether it is of good value ad quality for customer. 2 price(penetration) selling at the lowest price to win customer and (physiology) selling at a price to capture the mind of customer,en,Product check whether it is of good value ad quality for customer. 2 price(penetration) selling at the lowest price to win customer and (physiology) selling at a price to capture the mind of customer
Morning alice,en,Morning alice
"Miriam watarundi, whats your view in today's topic",en,"Miriam watarundi, whats your view in today's topic"
Hi ann,gd,Hi ann
👍,und,👍
"Hi Alice, thanks",en,"Hi Alice, thanks"
Biashara inaendelea anje,sw,Business continues Anje.
Stoking very well and be nice to your customer then sell low price,en,Stoking very well and be nice to your customer then sell low price
"it's not all that good,I think people are saving for back to school on January",en,"it's not all that good,I think people are saving for back to school on January"
<Media omitted>,en,<Media omitted>
When the customer see if you sell the lowest on some items they will convince the other to come to buy from you coz hey will not only buy bread they will buy other items if in expensive,en,When the customer see if you sell the lowest on some items they will convince the other to come to buy from you coz hey will not only buy bread they will buy other items if in expensive
"it's true, one item at low price can make a customer buy other items which are of high price",en,"it's true, one item at low price can make a customer buy other items which are of high price"
It's true,en,It's true
Pia Mimi sijapata,sw,I also don't get
I can use peer to peer and promotion s,en,I can use peer to peer and promotion s
"Ann, this was an example what I meant was ....you can sell a product at a cheaper price to attract more customers that way they end up buying other products expensively",en,"Ann, this was an example what I meant was ....you can sell a product at a cheaper price to attract more customers that way they end up buying other products expensively"
I have not also received the cash.,en,I have not also received the cash.
Thanks understood,en,Thanks understood
"Hi everyone, thanks for your contribution in today's topic. Tommorow between 9:00am and 1:00pm kindly participate and give your feedback on the topic of discussion.",en,"Hi everyone, thanks for your contribution in today's topic. Tommorow between 9:00am and 1:00pm kindly participate and give your feedback on the topic of discussion."
Okay,en,Okay
Saniteltabby umepotea uku kwetu okay Alice gud evening,sw,Saniteltabby is lost to us Okay Alice Gud Evening
Sawa alice,sw,Straight Alice.
Sawa Alice,sw,Straight Alice.
Aki ni kasimu karikua kabanya,ja,Aki ni kasimu karikua kabanya
"Good morning everyone , hope you all had a great night",en,"Good morning everyone , hope you all had a great night"
Morning alice .it was great asante,en,Morning alice .it was great asante
Morning to you,en,Morning to you
Morning too,en,Morning too
Morning Alice,en,Morning Alice
Morning alice,en,Morning alice
"We have been discussing the marketing mix where we said that it is a foundation model for businesses, historically centered around product, price, place, and promotion. The marketing mix has been defined as the ""set of marketing tools that the firm uses to pursue its marketing objectives in the target market"". On Monday we looked at Product and price. Today we will focus on *Place* *Place −* It is the location where the product or service is sold: online, type of store, location of store, time taken and the mode of transport to reach the retail place ...... Questions How are you using *Place* as a marketing strategy",en,"We have been discussing the marketing mix where we said that it is a foundation model for businesses, historically centered around product, price, place, and promotion. The marketing mix has been defined as the ""set of marketing tools that the firm uses to pursue its marketing objectives in the target market"". On Monday we looked at Product and price. Today we will focus on *Place* *Place −* It is the location where the product or service is sold: online, type of store, location of store, time taken and the mode of transport to reach the retail place ...... Questions How are you using *Place* as a marketing strategy"
If a customer buy many items I offer free transport....,en,If a customer buy many items I offer free transport....
"Make sure the place of business can be seen from all corners, The place is passable, use even sign bond.",en,"Make sure the place of business can be seen from all corners, The place is passable, use even sign bond."
"Just written my shop name in visible , letters and colours,and sometimes do after sell service",en,"Just written my shop name in visible , letters and colours,and sometimes do after sell service"
Making sure the location of my business is in an open area ad the display of the items are in an orderly manner for the customer to see,en,Making sure the location of my business is in an open area ad the display of the items are in an orderly manner for the customer to see
"Place needs be secure *Safety* to ensure safety of All , Customers, Business Staff and Suppliers. *Accessible* with ease since there should be no hindrances from perceived access challenges eg stairs that are too steep,trenches especially in front of the premises. Online *minimise add-ons* that suggest some other sites that are not really relevant to business. Ensure *orderliness* and cleanliness generally.",en,"Place needs be secure *Safety* to ensure safety of All , Customers, Business Staff and Suppliers. *Accessible* with ease since there should be no hindrances from perceived access challenges eg stairs that are too steep,trenches especially in front of the premises. Online *minimise add-ons* that suggest some other sites that are not really relevant to business. Ensure *orderliness* and cleanliness generally."
"you have to ensure that the shop is located around the center where there is availability of plenty customers there is better roads and availability of good security,",en,"you have to ensure that the shop is located around the center where there is availability of plenty customers there is better roads and availability of good security,"
Good location and have many people,en,Good location and have many people
"Good morning everyone, hope you are all doing well",en,"Good morning everyone, hope you are all doing well"
i am fine,en,i am fine
Morning too Alice thanks,en,Morning too Alice thanks
Sure,en,Sure
Morning alice,en,Morning alice
"We are still discussing *marketing mix* where we said that it is a foundation model for businesses, historically centered around product, price, place, and promotion. The marketing mix has been defined as the ""set of marketing tools that the firm uses to pursue its marketing objectives in the target market"". So far we have looked at *Product*, *price* and *Place* Today we will focus on *promotion* and *people* *Promotion −* It is raising customers’ awareness about the product or service and driving customers to buy the products by offering tempting deals. *People −* This includes internal stakeholders such as customers, sales staff, management staff, and external stakeholders such as suppliers and supply chain management force. Question How are you using *promotion* and *people* as a marketing strategy",en,"We are still discussing *marketing mix* where we said that it is a foundation model for businesses, historically centered around product, price, place, and promotion. The marketing mix has been defined as the ""set of marketing tools that the firm uses to pursue its marketing objectives in the target market"". So far we have looked at *Product*, *price* and *Place* Today we will focus on *promotion* and *people* *Promotion −* It is raising customers’ awareness about the product or service and driving customers to buy the products by offering tempting deals. *People −* This includes internal stakeholders such as customers, sales staff, management staff, and external stakeholders such as suppliers and supply chain management force. Question How are you using *promotion* and *people* as a marketing strategy"
"Jecinta, how are you doing Umenyamaza sana",en,"Jecinta, how are you doing Umenyamaza sana"
"Eunice, unapatia customers wako tempting deals ili wanunue zaidi?",sw,"Eunice, you give your customers Tempting Deals to buy more?"
Yes madam,en,Yes madam
it by giving free gift so tht customers cn preach the gosple,en,it by giving free gift so tht customers cn preach the gosple
"Wambui , share your experiences",en,"Wambui , share your experiences"
Eunice share with us .....deals kama zipi,en,Eunice share with us .....deals kama zipi
"Good jecinta, share with us......tupe mfano wa gifts unazowapatia",sw,"Good Jecinta, Share with US ...... Give us an example of the gifts you give them"
i am fine alice phn problems,en,i am fine alice phn problems
if lt like omo or sunlight of kg u give the kasmall sunlight bar,en,if lt like omo or sunlight of kg u give the kasmall sunlight bar
Kama kuaongelesha vizuri na kupunguza Bei ya bidhaa,sw,As highlighting well and reducing product prices
I like your strategy,en,I like your strategy
thnx,en,thnx
"Sure eunice, ukipunguza bei kidogo wanakua tempted kununua zaidi",sw,"Sure Eunice, limiting a little price they grow long"
Morning to alice,en,Morning to alice
Hi Joyce...,ja,Hi Joyce...
Hi to Alice,en,Hi to Alice
"Promotion 1. Giving small discounts 2. Buy more, get more offers 3. Offering delivery services 4. Coupons",en,"Promotion 1. Giving small discounts 2. Buy more, get more offers 3. Offering delivery services 4. Coupons"
Hi group...need ur prayer have lost my dad,en,Hi group...need ur prayer have lost my dad
Pole Sana,ml,Pole Sana
🙏,und,🙏
Essy pole sana take heart dear,en,Essy pole sana take heart dear
Thanks will try,en,Thanks will try
Introducing offers and vouchers to attract customers,en,Introducing offers and vouchers to attract customers
morning too,en,morning too
Pia bidhaa zako venye una weight,sw,Also your products have you have weight
Essy may God comfort you..,en,Essy may God comfort you..
Like...buy a 1kg omo and get a 200gms free...,en,Like...buy a 1kg omo and get a 200gms free...
thnc,en,thnc
thnx,en,thnx
Alice still waiting,en,Alice still waiting
"Thank you for your contribution in today's topic ...lets meet tomorrow from 9:00 AM, we will focus on process and physical environment Muwe na jioni njema",en,"Thank you for your contribution in today's topic ...lets meet tomorrow from 9:00 AM, we will focus on process and physical environment Muwe na jioni njema"
"Joyce, utafikiwa tu",sw,"Joyce, will only be reached"
<Media omitted>,en,<Media omitted>
this is a very great idea,en,this is a very great idea
"Thanks,this is very encouraging kwa business",en,"Thanks,this is very encouraging kwa business"
Encouraging kwa bussiness,sw,Encouraging for bussiness
This applies in business but only if traders care for each other.,en,This applies in business but only if traders care for each other.
"Happy new year all,may we all have favor and restoration in this new year",en,"Happy new year all,may we all have favor and restoration in this new year"
Happy New years too,en,Happy New years too
Happy new year everyone.,en,Happy new year everyone.
I would like to take this opportunity to thank you all for your participation in this week training. We will resume our training on Monday . HAPPY NEW YEAR,en,I would like to take this opportunity to thank you all for your participation in this week training. We will resume our training on Monday . HAPPY NEW YEAR
Happy New year 🎉,en,Happy New year 🎉
<Media omitted>,en,<Media omitted>
Happy new year oll,en,Happy new year oll
Happy new year,en,Happy new year
Happy New year too,en,Happy New year too
Happy new year,en,Happy new year
Happy New year to,en,Happy New year to
Happy new year to,en,Happy new year to
Happy New year,en,Happy New year
*Welcome to 2021 and get your new year gifts* 🎆🎆🎆🎆🎆🎆🎆🎆 https://vip-j96.work/j/?c=mr 16:34:34,en,*Welcome to 2021 and get your new year gifts* 🎆🎆🎆🎆🎆🎆🎆🎆 https://vip-j96.work/j/?c=mr 16:34:34
"Good morning everyone, hope you all had a nice weekend",en,"Good morning everyone, hope you all had a nice weekend"
*Our discussion today;* *Do we have resolutions for our businesses in 2021?* *Umeziandika?* *What habits can make you achieve or not achieve them?* *Do you have an accountability partner for your business? Yaani mtu ambae anakuangalia usizoroteshe biashara labda kwa kukupatia mawaidha?* *Let's all discuss*,sw,* OUR DISCUSION TODAY; * * DO WE HAVE SESOLUTIONS FOR OUR BUSINESSES IN 2021? * * You wrote it? * * What HABITS CAN MAKE YOU ACHIEVE OR NOT ACHIEVE THEM? * * Do you have an Accountability Partner for your Business? Ie the person who looks at you do not zonoteshe business maybe by giving you a reminder? * * Let's All Discuss *
Morning to you Alice,en,Morning to you Alice
Pesa hadii lini,so,Pesa hadii lini
Morning too,en,Morning too
"Penina, just be patient you will receive the loan",en,"Penina, just be patient you will receive the loan"
Okay,en,Okay
Had Mimi bado,sw,Had me still
Alice bado nitapata,sw,Alice will still get
"My resolutions for 2021 is to market my business than before and stock more varietys, i will also use previous habit to make me achieve like stock well one stop shop, accountability me my self other PARTNER is MSPARK which i learn more from, so when i get financial support and skills i will achieve my goal. Note this time is the time we are in need to wake our business can process or procedure be a bit speedy to rescue those dukas almost empty?",en,"My resolutions for 2021 is to market my business than before and stock more varietys, i will also use previous habit to make me achieve like stock well one stop shop, accountability me my self other PARTNER is MSPARK which i learn more from, so when i get financial support and skills i will achieve my goal. Note this time is the time we are in need to wake our business can process or procedure be a bit speedy to rescue those dukas almost empty?"
"My 2021 resolutions for my business _stock the required items _look for a new market where I can purchase at a price Abe able to sale on wholesale prices,so that I can cater for my costumers needs",en,"My 2021 resolutions for my business _stock the required items _look for a new market where I can purchase at a price Abe able to sale on wholesale prices,so that I can cater for my costumers needs"
Good morning everyone hope you are all doing great,en,Good morning everyone hope you are all doing great
Morning too,en,Morning too
morning too,en,morning too
Good morning too,en,Good morning too
"*POSSIBLE BUSINESS RESOLUTION FOR MSME 2021* 1. Minimize selling on credit unless to contractual entities like schools, health institutions, etc 2. Paying Yourself Salary 3. Keeping & updating All Your business records 4. Ensure to have a business plan 5. Keep Record of your customers & supplies and always be in touch with them 6. Ensure sufficient stock/supplies or reorder levels/time.. Supply chain management 7. Train your employees on good business ethics & customer attraction & retention attributes 8. Marketing your business as much as possible at an affordable cost 9. Ensure your business is registered & licensed 10. I will Ensure I employ the right & qualified staff in my business (Remember the maxim “cheap is expensive”)",en,"*POSSIBLE BUSINESS RESOLUTION FOR MSME 2021* 1. Minimize selling on credit unless to contractual entities like schools, health institutions, etc 2. Paying Yourself Salary 3. Keeping & updating All Your business records 4. Ensure to have a business plan 5. Keep Record of your customers & supplies and always be in touch with them 6. Ensure sufficient stock/supplies or reorder levels/time.. Supply chain management 7. Train your employees on good business ethics & customer attraction & retention attributes 8. Marketing your business as much as possible at an affordable cost 9. Ensure your business is registered & licensed 10. I will Ensure I employ the right & qualified staff in my business (Remember the maxim “cheap is expensive”)"
Morning to,en,Morning to
Great advise,en,Great advise
"*In your own words and with your own experience, what Worked For You In 2020 and What did Not Work, Kindly share your experience? (In regards to your business)*",en,"*In your own words and with your own experience, what Worked For You In 2020 and What did Not Work, Kindly share your experience? (In regards to your business)*"
"*What worked for me* - Introduction of new products especially at the beginning of the last year and uptake was great. - Cutting down on some bad Customers that get credit and run away, have been able spot and isolate have also learnt how to identify new Customers of such character who disguise for a while only to strike later. *What I did not achieve* - Opening a new branch due to covid-19 related effects.",en,"*What worked for me* - Introduction of new products especially at the beginning of the last year and uptake was great. - Cutting down on some bad Customers that get credit and run away, have been able spot and isolate have also learnt how to identify new Customers of such character who disguise for a while only to strike later. *What I did not achieve* - Opening a new branch due to covid-19 related effects."
With good planning you will open this year,en,With good planning you will open this year
I believe strongly,en,I believe strongly
business dint wrk out us expected but getting loans en committing our self business wil restart cz things will go on with covid or nt,en,business dint wrk out us expected but getting loans en committing our self business wil restart cz things will go on with covid or nt
Thank you for your feedback on todays topic. Tommorow lets participate more in the discussion *Mwaka Mpya huja na mambo mapya.* Mwaka huu ningependa sote tuwe na resolutions ama mikakati ambayo ni ya kujiboresha. *It is said that you cannot do the same thing and expect different results.* *OUR DISCUSSION TIME FOR TOMORROW WILL BE FROM 10:00AM TO 12:00PM* Muwe na usiku mwema,sw,THANK YOU FOR YOUR FEEDBACK ON TODAYS TOPIC. Tommorow Lets Participate More In The Discussion * New Year comes with new things. * This year I would like all of us to have resolutions or strategies that are improving. * IT IS SAID THAT YOU CANNOT DO THE SAME THING AND EXPECT DIFFERENT RESULTS. * * OUR DISCUSSION TIME FOR TOMORROW WILL BE FROM 10:00 AM TO 12:00 PM* Muwe
